lngDeg_current,Mi8,Pixel4,Pixel4Modded,Pixel4XL,Pixel4XLModded,Pixel5,SamsungS20Ultra
-122.1173314,0,0,0,0,0,0,1
-122.2531265,0,0,0,0,1,0,0
-121.897823,0,1,0,0,0,0,0
-122.4288139,1,0,0,0,0,0,0
-122.06282900000001,0,0,0,1,0,0,0
-122.4195172,1,0,0,0,0,0,0
-122.10386559999999,0,1,0,0,0,0,0
-122.0843963,0,1,0,0,0,0,0
-122.28881509999998,0,0,0,1,0,0,0
-121.89604640000002,0,0,0,0,0,0,1
-122.0778886,1,0,0,0,0,0,0
-122.11543219999999,0,0,0,0,0,1,0
-122.07984909999999,0,0,0,0,0,1,0
-122.0806299,1,0,0,0,0,0,0
-122.40137759999999,0,0,0,1,0,0,0
-122.0830679,0,1,0,0,0,0,0
-122.1664848,0,0,0,1,0,0,0
-121.8904987,0,1,0,0,0,0,0
-122.2884227,0,0,0,1,0,0,0
-122.06025159999999,1,0,0,0,0,0,0
-122.0719831,0,0,0,1,0,0,0
-122.29954529999999,0,1,0,0,0,0,0
-122.06787079999998,1,0,0,0,0,0,0
-122.34004740000002,0,0,0,1,0,0,0
-122.05769280000001,0,0,0,1,0,0,0
-122.387194,0,1,0,0,0,0,0
-122.24544270000001,0,0,0,0,1,0,0
-122.06284950000001,0,0,0,1,0,0,0
-122.0985331,0,0,0,1,0,0,0
-122.1297138,0,0,1,0,0,0,0
-122.09326659999999,0,0,0,0,0,0,1
-122.29136940000001,0,0,0,0,0,1,0
-122.34599170000001,0,0,0,0,1,0,0
-122.0991149,0,0,0,0,0,0,1
-122.42742109999999,0,0,0,1,0,0,0
-122.0876791,0,0,0,0,0,0,1
-122.10310020000001,0,0,1,0,0,0,0
-122.0977002,0,1,0,0,0,0,0
-121.99612250000001,0,0,0,0,0,0,1
-122.3239877,0,1,0,0,0,0,0
-122.1880626,1,0,0,0,0,0,0
-122.06460120000001,0,0,0,1,0,0,0
-122.27780859999999,0,0,0,0,0,1,0
-121.88480349999999,0,1,0,0,0,0,0
-121.8978618,0,1,0,0,0,0,0
-122.06991289999999,1,0,0,0,0,0,0
-121.8858165,0,0,0,0,0,0,1
-122.29095079999999,0,0,0,0,0,1,0
-122.4238067,0,0,0,1,0,0,0
-122.0630381,0,1,0,0,0,0,0
-122.31916969999999,0,1,0,0,0,0,0
-122.2213212,0,0,0,1,0,0,0
-122.4256379,0,1,0,0,0,0,0
-122.11573359999998,0,0,0,0,1,0,0
-122.28375890000001,0,1,0,0,0,0,0
-122.1257649,0,0,0,0,1,0,0
-121.88254450000001,0,0,0,0,0,0,1
-122.07823190000002,1,0,0,0,0,0,0
-122.1027348,0,1,0,0,0,0,0
-122.21470409999999,1,0,0,0,0,0,0
-121.8885159,0,0,0,0,0,0,1
-122.29202190000001,0,1,0,0,0,0,0
-122.30303149999999,0,1,0,0,0,0,0
-122.089694,0,0,0,0,0,0,1
-122.33272620000001,0,0,0,1,0,0,0
-122.09774990000001,0,0,0,0,0,1,0
-122.40596399999998,0,1,0,0,0,0,0
-122.2864362,0,1,0,0,0,0,0
-122.0990487,0,1,0,0,0,0,0
-122.07252530000001,0,1,0,0,0,0,0
-122.1346064,0,0,0,1,0,0,0
-121.8827337,0,0,0,0,0,0,1
-122.1018314,0,0,0,0,0,1,0
-122.1831465,0,0,0,1,0,0,0
-122.08970359999998,0,0,0,0,0,1,0
-122.07795159999998,0,1,0,0,0,0,0
-122.0755101,0,1,0,0,0,0,0
-122.281793,1,0,0,0,0,0,0
-122.2778285,0,0,0,0,1,0,0
