lngDeg_current,Mi8,Pixel4,Pixel4Modded,Pixel4XL,Pixel4XLModded,Pixel5,SamsungS20Ultra
-122.3047871,1,0,0,0,0,0,0
-122.10182379999999,0,0,0,0,0,1,0
-122.24589750000001,1,0,0,0,0,0,0
-122.06961229999999,0,0,0,0,1,0,0
-122.1297659,0,1,0,0,0,0,0
-122.0600034,0,1,0,0,0,0,0
-122.1410747,0,0,0,1,0,0,0
-122.23613429999999,0,0,0,1,0,0,0
-122.08693590000001,0,1,0,0,0,0,0
-122.07793590000001,0,1,0,0,0,0,0
-122.2661159,0,0,0,0,0,1,0
-122.0838531,0,0,0,0,1,0,0
-122.310144,0,1,0,0,0,0,0
-122.06005590000001,0,1,0,0,0,0,0
-122.0569369,0,0,0,1,0,0,0
-122.2901188,0,1,0,0,0,0,0
-122.0627831,1,0,0,0,0,0,0
-122.395202,0,0,0,1,0,0,0
-122.08879479999999,0,1,0,0,0,0,0
-122.16351929999999,0,0,0,1,0,0,0
-122.1509814,0,1,0,0,0,0,0
-122.07203259999999,1,0,0,0,0,0,0
-122.1290811,0,1,0,0,0,0,0
-122.02974569999999,1,0,0,0,0,0,0
-121.88958429999998,0,1,0,0,0,0,0
-122.09132509999999,1,0,0,0,0,0,0
-122.2594462,0,1,0,0,0,0,0
-122.3831845,1,0,0,0,0,0,0
-122.1654341,0,1,0,0,0,0,0
-122.2602659,0,0,0,0,1,0,0
-121.89198119999999,0,0,0,0,0,0,1
-122.24911509999998,0,1,0,0,0,0,0
-122.3752865,0,0,0,0,1,0,0
-122.3339108,1,0,0,0,0,0,0
-121.8893535,0,0,0,0,0,0,1
-122.29321570000002,0,1,0,0,0,0,0
-122.0826679,0,0,0,0,0,1,0
-122.1040273,0,0,1,0,0,0,0
-121.88387890000001,0,0,0,0,0,0,1
-122.1178051,0,0,0,1,0,0,0
-122.23542340000002,0,0,0,1,0,0,0
-122.0145288,0,0,0,0,0,1,0
-122.0637236,0,0,0,0,0,1,0
-122.04794740000001,1,0,0,0,0,0,0
-122.21596029999999,0,1,0,0,0,0,0
-121.89960159999998,0,1,0,0,0,0,0
-121.98693929999999,1,0,0,0,0,0,0
-121.89414450000001,0,0,0,0,0,0,1
-122.0762243,0,0,0,0,0,1,0
-122.15500630000001,1,0,0,0,0,0,0
-122.06292350000001,0,1,0,0,0,0,0
-122.16704299999999,0,1,0,0,0,0,0
-122.185092,0,0,0,1,0,0,0
-122.0699037,0,1,0,0,0,0,0
-122.15211090000001,0,1,0,0,0,0,0
-122.30831640000001,0,0,0,1,0,0,0
-122.06859890000001,0,0,0,1,0,0,0
